# HOLES(7),# OF SHOTS,%(11),%(4),%(7),AVG DTP(5),AVG(1),AVG(10),AVG(12),AVG(13),AVG(14),AVG(2),AVG(3),AVG(6),AVG(8),AVG(9),FAIRWAYS HIT(11),GREENS HIT(7),MEASURED ROUNDS(1),MEASURED ROUNDS(12),MEASURED ROUNDS(2),MEASURED ROUNDS(3),MEASURED ROUNDS(6),MEASURED ROUNDS(8),MEASURED ROUNDS(9),MISSED GIR(4),MOVEMENT(1),MOVEMENT(10),MOVEMENT(11),MOVEMENT(12),MOVEMENT(13),MOVEMENT(14),MOVEMENT(2),MOVEMENT(3),MOVEMENT(4),MOVEMENT(5),MOVEMENT(6),MOVEMENT(7),MOVEMENT(8),MOVEMENT(9),PAR OR BETTER(4),PLAYER,PLAYER_ID,POSSIBLE FAIRWAYS(11),RANK(1),RANK(10),RANK(11),RANK(12),RANK(13),RANK(14),RANK(2),RANK(3),RANK(4),RANK(5),RANK(6),RANK(7),RANK(8),RANK(9),RELATIVE/PAR(7),SCRAMBLING RANK(5),SG:APR(8),SG:ARG(8),SG:OTT,TOTAL ADJUSTMENT(14),TOTAL DISTANCE (FEET)(5),TOTAL DISTANCE(10),TOTAL DRIVES(10),TOTAL ROUNDS(13),TOTAL ROUNDS(14),TOTAL SG:APP(6),TOTAL SG:ARG(3),TOTAL SG:OTT(9),TOTAL SG:P(12),TOTAL SG:PUTTING(1),TOTAL SG:PUTTING(2),TOTAL SG:T(12),TOTAL SG:T2G(12),TOTAL STROKES(13),TOTAL STROKES(14)
1026.0,349.0,60.25%,68.90%,66.47%,"7' 0""",-0.23,297.3,1.283,69.7,70.232,-0.23,0.819,0.365,1.513,0.329,482.0,682.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,344.0,-14.0,-7.0,0.0,-3.0,1.0,-3.0,-14.0,0.0,1.0,16.0,2.0,-6.0,0.0,-1.0,237.0,Hideki Matsuyama,32839,800.0,136.0,112.0,101.0,7.0,32.0,17.0,136.0,1.0,2.0,24.0,31.0,78.0,4.0,39.0,-0.29,2.0,0.365,0.819,0.329,30.239,2450.0,33893.0,114.0,57.0,57.0,18.609,41.75,16.798,-11.749,-11.749,-11.749,65.42,77.17,3973.0,3973.0
1026.0,318.0,62.13%,54.97%,66.67%,"8' 3""",-0.081,302.4,0.384,70.46,70.798,-0.081,-0.021,0.305,0.465,0.181,497.0,684.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,342.0,0.0,-6.0,5.0,0.0,-8.0,0.0,0.0,3.0,-3.0,-3.0,-5.0,-9.0,-6.0,2.0,188.0,Keegan Bradley,33141,800.0,113.0,60.0,67.0,62.0,124.0,63.0,113.0,100.0,161.0,152.0,48.0,72.0,53.0,59.0,-0.31,161.0,0.305,-0.021,0.181,19.482,2618.167,34475.0,114.0,57.0,57.0,15.566,-1.073,9.223,-4.122,-4.122,-4.122,19.591,23.713,4016.0,4016.0
936.0,290.0,67.72%,57.88%,66.77%,"7' 8""",-0.029,297.8,0.797,70.2,70.471,-0.029,-0.035,0.584,0.826,0.276,493.0,625.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,311.0,-4.0,-7.0,0.0,1.0,-7.0,-2.0,-4.0,1.0,-4.0,-3.0,0.0,-7.0,1.0,0.0,180.0,Shane Lowry,33204,728.0,106.0,103.0,16.0,27.0,90.0,33.0,106.0,105.0,125.0,97.0,10.0,69.0,18.0,46.0,-0.29,125.0,0.584,-0.035,0.276,14.925,2232.0,30968.0,104.0,55.0,55.0,27.463,-1.622,12.979,-1.354,-1.354,-1.354,37.477,38.834,3861.0,3861.0
1026.0,351.0,61.59%,58.31%,64.23%,"8' 1""",0.07,296.0,0.25,70.18,70.85,0.07,0.048,0.138,0.18,-0.007,489.0,659.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,367.0,16.0,-2.0,3.0,5.0,17.0,12.0,16.0,-20.0,13.0,-19.0,9.0,7.0,-6.0,-7.0,214.0,Adam Hadwin,33399,794.0,82.0,119.0,76.0,79.0,85.0,75.0,82.0,82.0,114.0,142.0,76.0,136.0,82.0,104.0,-0.31,114.0,0.138,0.048,-0.007,40.876,2824.5,33749.0,114.0,61.0,61.0,7.188,2.52,-0.341,3.651,3.651,3.651,13.016,9.364,4281.0,4281.0
882.0,295.0,54.42%,57.91%,62.02%,"8' 3""",0.458,302.0,-0.388,70.92,71.895,0.458,0.027,-0.309,-0.846,-0.563,369.0,547.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,335.0,-4.0,2.0,-6.0,-5.0,0.0,-1.0,-4.0,-3.0,-1.0,3.0,12.0,-7.0,1.0,1.0,194.0,Tyson Alexander,33408,678.0,21.0,67.0,158.0,143.0,160.0,161.0,21.0,86.0,123.0,152.0,136.0,166.0,164.0,166.0,-0.32,123.0,-0.309,0.027,-0.563,50.543,2444.667,29593.0,98.0,52.0,52.0,-13.595,1.176,-24.788,20.149,20.149,20.149,-17.058,-37.209,3688.0,3688.0
756.0,187.0,61.30%,60.40%,66.93%,"7' 6""",0.009,294.5,0.124,70.28,71.161,0.009,-0.255,0.434,0.115,-0.065,358.0,506.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,250.0,-5.0,-2.0,1.0,-1.0,-6.0,-5.0,-5.0,-1.0,2.0,-5.0,0.0,-8.0,-3.0,-4.0,151.0,Ben Martin,33413,584.0,97.0,128.0,79.0,90.0,100.0,104.0,97.0,150.0,85.0,76.0,23.0,60.0,87.0,114.0,-0.27,85.0,0.434,-0.255,-0.065,40.412,1398.333,24735.0,84.0,46.0,46.0,14.337,-8.428,-2.137,0.306,0.306,0.306,4.094,3.786,3233.0,3233.0
846.0,310.0,56.00%,61.22%,65.25%,"7' 3""",-0.399,307.6,0.714,69.75,70.331,-0.399,0.434,0.517,1.112,0.161,364.0,552.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,294.0,3.0,-4.0,-6.0,-7.0,1.0,-8.0,3.0,-2.0,10.0,5.0,-8.0,-2.0,-5.0,-6.0,180.0,Justin Thomas,33448,650.0,154.0,31.0,144.0,34.0,40.0,25.0,154.0,5.0,67.0,47.0,16.0,117.0,12.0,65.0,-0.3,67.0,0.517,0.434,0.161,29.864,2241.583,28911.0,94.0,51.0,51.0,22.743,19.112,7.087,-17.537,-17.537,-17.537,31.401,48.939,3557.0,3557.0
720.0,213.0,62.73%,63.29%,67.08%,"7' 2""",0.171,291.1,0.019,70.44,71.707,0.171,0.304,0.019,-0.152,-0.475,345.0,483.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,237.0,3.0,1.0,6.0,-2.0,1.0,-2.0,3.0,-10.0,-6.0,0.0,13.0,23.0,-3.0,-2.0,150.0,Roger Sloan,33486,550.0,62.0,151.0,59.0,104.0,121.0,156.0,62.0,21.0,35.0,40.0,99.0,55.0,118.0,161.0,-0.26,35.0,0.019,0.304,-0.475,54.39,1527.333,23291.0,80.0,43.0,43.0,0.632,10.036,-15.67,5.638,5.638,5.638,0.638,-5.0,3029.0,3029.0
1026.0,366.0,60.08%,60.98%,64.04%,"7' 11""",0.61,301.0,0.398,69.88,70.452,0.61,-0.237,-0.119,-0.211,0.144,471.0,657.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,369.0,0.0,-8.0,-1.0,8.0,11.0,7.0,0.0,-2.0,21.0,-15.0,2.0,7.0,5.0,5.0,225.0,Thomas Detry,33653,784.0,6.0,75.0,103.0,59.0,53.0,31.0,6.0,148.0,73.0,129.0,120.0,138.0,126.0,72.0,-0.32,73.0,-0.119,-0.237,0.144,34.112,2889.417,34317.0,114.0,60.0,60.0,-6.544,-13.023,7.917,33.538,33.538,33.538,21.904,-11.632,4193.0,4193.0
1062.0,337.0,54.71%,56.97%,68.93%,"7' 4""",-0.056,313.9,0.633,69.98,70.664,-0.056,-0.024,0.284,0.689,0.429,453.0,732.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,330.0,-5.0,-1.0,-7.0,-5.0,-1.0,-2.0,-5.0,6.0,0.0,2.0,-7.0,-7.0,-1.0,-2.0,188.0,Byeong Hun An,33948,828.0,111.0,5.0,154.0,39.0,61.0,51.0,111.0,103.0,141.0,56.0,53.0,25.0,25.0,18.0,-0.32,141.0,0.284,-0.024,0.429,40.16,2463.0,37041.0,118.0,59.0,59.0,15.332,-1.292,23.186,-3.021,-3.021,-3.021,34.204,37.225,4129.0,4129.0
